"Folate, food",µg,36,8,10.000,36,40,3,23,14,6,1
"Folate, DFE",µg,36,--,--,36,40,3,23,14,6,1
"Choline, total",mg,6.1,--,--,6.2,6.7,0.5,3.9,2.4,1.0,0.2
"Betaine",mg,0.1,2,--,0.1,0.1,0.0,0.1,0.0,0.0,0.0
"Vitamin B-12",µg,0.00,--,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Vitamin B-12, added",µg,0.00,--,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,22,--,--,22,24,2,14,9,4,1
"Retinol",µg,0,--,--,0,0,0,0,0,0,0
"Carotene, beta",µg,270,6,35.000,273,297,20,173,108,46,11
"Carotene, alpha",µg,0,6,0.000,0,0,0,0,0,0,0
"Cryptoxanthin, beta",µg,0,6,0.000,0,0,0,0,0,0,0
"Vitamin A, IU",IU,449,--,--,453,494,34,287,180,76,18
"Lycopene",µg,0,6,0.000,0,0,0,0,0,0,0
"Lutein + zeaxanthin",µg,283,6,37.000,286,311,21,181,113,48,11
"Vitamin E (alpha-tocopherol)",mg,0.27,13,0.070,0.27,0.30,0.02,0.17,0.11,0.05,0.01
"Vitamin E, added",mg,0.00,--,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Tocopherol, beta",mg,0.00,13,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Tocopherol, gamma",mg,0.00,13,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Tocopherol, delta",mg,0.00,13,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Tocotrienol, alpha",mg,0.01,7,0.003,0.01,0.01,0.00,0.01,0.00,0.00,0.00
"Tocotrienol, beta",mg,0.00,7,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Tocotrienol, gamma",mg,0.00,7,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Tocotrienol, delta",mg,0.00,7,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Vitamin D (D2 + D3)",µg,0.0,--,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,--,--,0,0,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,29.3,9,3.200,29.6,32.2,2.2,18.8,11.7,5.0,1.2
Lipids
"Fatty acids, total saturated",g,0.042,--,--,0.042,0.046,0.003,0.027,0.017,0.007,0.002
"4:0",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"6:0",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"8:0",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"10:0",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"12:0",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"14:0",g,0.001,--,--,0.001,0.001,0.000,0.001,0.000,0.000,0.000
"16:0",g,0.037,--,--,0.037,0.041,0.003,0.024,0.015,0.006,0.001
"18:0",g,0.004,--,--,0.004,0.004,0.000,0.003,0.002,0.001,0.000
"Fatty acids, total monounsaturated",g,0.032,--,--,0.032,0.035,0.002,0.020,0.013,0.005,0.001
"16:1 undifferentiated",g,0.001,--,--,0.001,0.001,0.000,0.001,0.000,0.000,0.000
"18:1 undifferentiated",g,0.031,--,--,0.031,0.034,0.002,0.020,0.012,0.005,0.001
"20:1",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"22:1 undifferentiated",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Fatty acids, total polyunsaturated",g,0.079,--,--,0.080,0.087,0.006,0.051,0.032,0.013,0.003
"18:2 undifferentiated",g,0.079,--,--,0.080,0.087,0.006,0.051,0.032,0.013,0.003
"18:3 undifferentiated",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"18:4",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"20:4 undifferentiated",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"20:5 n-3 (EPA)",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"22:5 n-3 (DPA)",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"22:6 n-3 (DHA)",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Fatty acids, total trans",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Cholesterol",mg,0,--,--,0,0,0,0,0,0,0
"Phytosterols",mg,6,1,--,6,7,0,4,2,1,0
Amino Acids
"Tryptophan",g,0.009,--,--,0.009,0.010,0.001,0.006,0.004,0.002,0.000
"Threonine",g,0.020,--,--,0.020,0.022,0.002,0.013,0.008,0.003,0.001
"Isoleucine",g,0.021,--,--,0.021,0.023,0.002,0.013,0.008,0.004,0.001
"Leucine",g,0.032,--,--,0.032,0.035,0.002,0.020,0.013,0.005,0.001
"Lysine",g,0.027,--,--,0.027,0.030,0.002,0.017,0.011,0.005,0.001
"Methionine",g,0.005,--,--,0.005,0.006,0.000,0.003,0.002,0.001,0.000
"Cystine",g,0.004,--,--,0.004,0.004,0.000,0.003,0.002,0.001,0.000
"Phenylalanine",g,0.020,--,--,0.020,0.022,0.002,0.013,0.008,0.003,0.001
"Tyrosine",g,0.009,--,--,0.009,0.010,0.001,0.006,0.004,0.002,0.000
"Valine",g,0.027,--,--,0.027,0.030,0.002,0.017,0.011,0.005,0.001
"Arginine",g,0.020,--,--,0.020,0.022,0.002,0.013,0.008,0.003,0.001
"Histidine",g,0.012,--,--,0.012,0.013,0.001,0.008,0.005,0.002,0.000
"Alanine",g,0.023,--,--,0.023,0.025,0.002,0.015,0.009,0.004,0.001
"Aspartic acid",g,0.117,--,--,0.118,0.129,0.009,0.075,0.047,0.020,0.005
"Glutamic acid",g,0.090,--,--,0.091,0.099,0.007,0.058,0.036,0.015,0.004
"Glycine",g,0.021,--,--,0.021,0.023,0.002,0.013,0.008,0.004,0.001
"Proline",g,0.018,--,--,0.018,0.020,0.001,0.012,0.007,0.003,0.001
"Serine",g,0.020,--,--,0.020,0.022,0.002,0.013,0.008,0.003,0.001
Other
"Alcohol, ethyl",g,0.0,--,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Caffeine",mg,0,--,--,0,0,0,0,0,0,0
"Theobromine",mg,0,--,--,0,0,0,0,0,0,0
Flavonoids
Anthocyanidins
"Cyanidin",mg,0.0,8,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Petunidin",mg,0.0,8,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Delphinidin ",mg,0.0,8,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Malvidin",mg,0.0,8,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Pelargonidin",mg,0.0,8,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Peonidin",mg,0.0,8,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flavan-3-ols
"(+)-Catechin",mg,0.0,5,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(-)-Epigallocatechin",mg,0.0,5,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(-)-Epicatechin",mg,0.0,5,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(-)-Epicatechin 3-gallate",mg,0.0,5,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(-)-Epigallocatechin 3-gallate",mg,0.0,5,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(+)-Gallocatechin",mg,0.0,5,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flavanones
"Hesperetin",mg,0.0,5,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Naringenin",mg,0.0,5,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flavones
"Apigenin",mg,2.9,25,0.560,2.9,3.1,0.2,1.8,1.1,0.5,0.1
"Luteolin",mg,1.1,22,0.230,1.1,1.2,0.1,0.7,0.4,0.2,0.0
Flavonols
"Kaempferol",mg,0.2,1,--,0.2,0.2,0.0,0.1,0.1,0.0,0.0
"Myricetin",mg,0.0,9,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Quercetin",mg,0.4,10,0.350,0.4,0.4,0.0,0.2,0.2,0.1,0.0
Isoflavones
"Daidzein",mg,0.00,1,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Genistein",mg,0.00,1,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Total isoflavones",mg,0.00,1,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Proanthocyanidin
"Proanthocyanidin dimers",mg,0.0,1,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Proanthocyanidin trimers",mg,0.0,1,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Proanthocyanidin 4-6mers",mg,0.0,1,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Proanthocyanidin 7-10mers",mg,0.0,1,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Proanthocyanidin polymers (>10mers)",mg,0.0,1,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Sources of Data
1,"Nutrient Data Laboratory, ARS, USDA","National Food and Nutrient Analysis Program Wave 5n",2001,,BeltsvilleMD
2,"Nutrient Data Laboratory, ARS, USDA","National Food and Nutrient Analysis Program Wave 5f",2001,,BeltsvilleMD
3,"Robert Ophaug","Fluoride, Unpublished - Ophaug",,Microdiffision,MD
4,"Harnly, J. M., Doherty, R., Beecher, G. R., Holden, J. M., Haytowitz, D. B., and Bhagwat, S., and Gebhardt S. ","Flavonoid content of U.S. fruits, vegetables, and nuts",2006,J. Agric. Food Chem.,54 pp. 9966-9966
5,"Crozier, A., Lean, M. E. J., McDonald, M. S., and Black, C. ","Quantitative analysis of the flavonoid content of commercial tomatoes, onions, lettuce, and celery.",1997,J. Agric. Food Chem.,45 pp. 590-590
6,"Hertog, M. G. L., Hollman, P. C. H., and Venema, D. P. ","Optimization of a quantitative HPLC determination of potentially anticarcinogenic flavonoids in vegetables and fruits.",1992,J. Agric. Food Chem.,40 pp. 1591-1591
7,"Justesen, U., Knuthsen, P., and Leth, T.","Quantitative analysis of flavonols, flavones, and flavonones in fruits, vegetables and beverages by high-performance liquid chromatography with photo-diode array and mass spectrometric detection.",1998,J. Chromatogr. A,799 pp. 101-101
8,"Lin, L-Z., Lu, S., and Harnly, J. M.","Detection and quantification of glycosylated flavonoid malonates in celery, Chinese celery, and clery seed by LCDAD-ESI/MS.",2007,J. Agric. Food Chem.,55 pp. 1321-1321
9,"Sakakibara, H., Honda, Y., Nakagawa, S., Ashida, H., and Kanazawa, K. ","Simultaneous determination of all polyphenols in vegetables, fruits, and teas",2003,J. Agric. Food Chem.,513 pp. 571-571
10,"Kevers, C., Falkowski, M., Tabart, J., Defraigne, J-O., Dommes, J., and Pincemail, J. ","Evolution of antioxidant capacity during storage of selected fruits and vegetables",2007,J. Agric. Food Chem.,553 pp. 8596-8596
11,"Crozier, A., Jensen, E., Lean, M. E. J., and McDonald, M. S. ","Quantitative analysis of flavonoids by reversed-phase high-performance liquid chromatography.",1997,J. Chromatogr. A,7613 pp. 315-315
12,"Gu, L., Kelm, M.A., Hammerstone, J.F., Beecher, G., Holden, J., Haytowitz, D., Gebhardt, S., and Prior, R.L.","Screening foods containing proanthocyanidins and their structural characterization using LC-MS/MS and thiolytic degradation",2003,J. Agric. Food Chem.,513 pp. 7513-7513
13,"Liggins, J., Bluck, L. J. C., Runswick, C., Atkinson, C., Coward, W. A., and Bingham, S. A. ","Daidzein and genistein content of vegetables.",2000,Brit. J. Nutr.,843 pp. 717-717
Langual Code(s)
"K0003""NO PACKING MEDIUM USED"
"A1281""1100 VEGETABLES AND VEGETABLE PRODUCTS (USDA SR)"
"C0101""STEM OR STALK (WITHOUT LEAVES)"
"J0001""PRESERVATION METHOD NOT KNOWN"
"A0152""VEGETABLE OR VEGETABLE PRODUCT (US CFR)"
"N0001""FOOD CONTACT SURFACE NOT KNOWN"
"B1282""CELERY"
"P0024""HUMAN FOOD, NO AGE SPECIFICATION"
"G0003""COOKING METHOD NOT APPLICABLE"
"F0003""NOT HEAT-TREATED"
"H0003""NO TREATMENT APPLIED"
"E0150""WHOLE, NATURAL SHAPE"
"M0001""CONTAINER OR WRAPPING NOT KNOWN"
