"Tocotrienol, alpha",mg,0.01,6,0.005,0.01,0.02,0.01,0.00,0.02,0.01,0.00,0.01,0.01,0.00,0.00,0.00,0.01
"Tocotrienol, beta",mg,0.00,6,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Tocotrienol, gamma",mg,0.00,6,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Tocotrienol, delta",mg,0.00,6,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Vitamin D (D2 + D3)",µg,0.0,--,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,7.9,15,4.700,11.8,14.2,4.9,1.3,14.4,9.7,1.6,4.9,7.2,2.1,2.4,1.2,11.7
Lipids
"Fatty acids, total saturated",g,0.028,--,--,0.042,0.050,0.017,0.005,0.051,0.034,0.006,0.017,0.025,0.008,0.009,0.004,0.041
"4:0",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"6:0",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"8:0",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"10:0",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"12:0",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"14:0",g,0.000,1,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"16:0",g,0.020,1,--,0.030,0.036,0.012,0.003,0.036,0.025,0.004,0.012,0.018,0.005,0.006,0.003,0.030
"18:0",g,0.008,1,--,0.012,0.014,0.005,0.001,0.015,0.010,0.002,0.005,0.007,0.002,0.002,0.001,0.012
"Fatty acids, total monounsaturated",g,0.031,--,--,0.046,0.056,0.019,0.005,0.056,0.038,0.006,0.019,0.028,0.008,0.010,0.005,0.046
"16:1 undifferentiated",g,0.001,1,--,0.001,0.002,0.001,0.000,0.002,0.001,0.000,0.001,0.001,0.000,0.000,0.000,0.001
"18:1 undifferentiated",g,0.030,1,--,0.045,0.054,0.019,0.005,0.055,0.037,0.006,0.019,0.027,0.008,0.009,0.004,0.044
"20:1",g,0.000,1,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"22:1 undifferentiated",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Fatty acids, total polyunsaturated",g,0.083,--,--,0.124,0.149,0.051,0.014,0.151,0.102,0.017,0.051,0.076,0.022,0.026,0.012,0.123
"18:2 undifferentiated",g,0.080,1,--,0.119,0.144,0.050,0.014,0.146,0.098,0.016,0.050,0.073,0.022,0.025,0.012,0.118
"18:3 undifferentiated",g,0.003,1,--,0.004,0.005,0.002,0.001,0.005,0.004,0.001,0.002,0.003,0.001,0.001,0.000,0.004
"18:4",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"20:4 undifferentiated",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"20:5 n-3 (EPA)",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"22:5 n-3 (DPA)",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"22:6 n-3 (DHA)",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Fatty acids, total trans",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Cholesterol",mg,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phytosterols",mg,7,1,--,10,13,4,1,13,9,1,4,6,2,2,1,10
Amino Acids
"Tryptophan",g,0.006,--,--,0.009,0.011,0.004,0.001,0.011,0.007,0.001,0.004,0.005,0.002,0.002,0.001,0.009
"Threonine",g,0.027,--,--,0.040,0.049,0.017,0.005,0.049,0.033,0.005,0.017,0.025,0.007,0.008,0.004,0.040
"Isoleucine",g,0.018,--,--,0.027,0.032,0.011,0.003,0.033,0.022,0.004,0.011,0.016,0.005,0.006,0.003,0.027
"Leucine",g,0.025,--,--,0.037,0.045,0.015,0.004,0.045,0.031,0.005,0.015,0.023,0.007,0.008,0.004,0.037
"Lysine",g,0.027,--,--,0.040,0.049,0.017,0.005,0.049,0.033,0.005,0.017,0.025,0.007,0.008,0.004,0.040
"Methionine",g,0.006,--,--,0.009,0.011,0.004,0.001,0.011,0.007,0.001,0.004,0.005,0.002,0.002,0.001,0.009
"Cystine",g,0.009,--,--,0.013,0.016,0.006,0.002,0.016,0.011,0.002,0.006,0.008,0.002,0.003,0.001,0.013
"Phenylalanine",g,0.027,--,--,0.040,0.049,0.017,0.005,0.049,0.033,0.005,0.017,0.025,0.007,0.008,0.004,0.040
"Tyrosine",g,0.014,--,--,0.021,0.025,0.009,0.002,0.025,0.017,0.003,0.009,0.013,0.004,0.004,0.002,0.021
"Valine",g,0.018,--,--,0.027,0.032,0.011,0.003,0.033,0.022,0.004,0.011,0.016,0.005,0.006,0.003,0.027
"Arginine",g,0.021,--,--,0.031,0.038,0.013,0.004,0.038,0.026,0.004,0.013,0.019,0.006,0.007,0.003,0.031
"Histidine",g,0.014,--,--,0.021,0.025,0.009,0.002,0.025,0.017,0.003,0.009,0.013,0.004,0.004,0.002,0.021
"Alanine",g,0.027,--,--,0.040,0.049,0.017,0.005,0.049,0.033,0.005,0.017,0.025,0.007,0.008,0.004,0.040
"Aspartic acid",g,0.135,--,--,0.201,0.243,0.084,0.023,0.246,0.166,0.027,0.084,0.123,0.036,0.042,0.020,0.200
"Glutamic acid",g,0.431,--,--,0.642,0.776,0.267,0.073,0.784,0.530,0.086,0.267,0.392,0.116,0.134,0.065,0.638
"Glycine",g,0.019,--,--,0.028,0.034,0.012,0.003,0.035,0.023,0.004,0.012,0.017,0.005,0.006,0.003,0.028
"Proline",g,0.015,--,--,0.022,0.027,0.009,0.003,0.027,0.018,0.003,0.009,0.014,0.004,0.005,0.002,0.022
"Serine",g,0.026,--,--,0.039,0.047,0.016,0.004,0.047,0.032,0.005,0.016,0.024,0.007,0.008,0.004,0.038
Other
"Alcohol, ethyl",g,0.0,--,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Caffeine",mg,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0
"Theobromine",mg,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0
Flavonoids
Anthocyanidins
"Cyanidin",mg,0.0,8,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Petunidin",mg,0.0,8,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Delphinidin ",mg,0.0,8,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Malvidin",mg,0.0,8,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Pelargonidin",mg,0.0,8,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Peonidin",mg,0.0,8,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flavan-3-ols
"(+)-Catechin",mg,0.0,13,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(-)-Epigallocatechin",mg,0.0,13,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(-)-Epicatechin",mg,0.0,13,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(-)-Epicatechin 3-gallate",mg,0.0,13,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(-)-Epigallocatechin 3-gallate",mg,0.0,13,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(+)-Gallocatechin",mg,0.0,13,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flavanones
"Hesperetin",mg,0.0,6,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Naringenin",mg,0.7,11,0.160,1.0,1.2,0.4,0.1,1.2,0.8,0.1,0.4,0.6,0.2,0.2,0.1,1.0
Flavones
"Apigenin",mg,0.0,16,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Luteolin",mg,0.0,15,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flavonols
"Isorhamnetin",mg,0.0,1,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Kaempferol",mg,0.1,49,0.020,0.1,0.2,0.1,0.0,0.2,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1
"Myricetin",mg,0.1,22,0.030,0.2,0.2,0.1,0.0,0.2,0.2,0.0,0.1,0.1,0.0,0.0,0.0,0.2
"Quercetin",mg,0.6,96,0.010,0.9,1.0,0.4,0.1,1.1,0.7,0.1,0.4,0.5,0.2,0.2,0.1,0.9
Isoflavones
"Daidzein",mg,0.00,3,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Genistein",mg,0.00,3,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Glycitein",mg,0.00,1,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Total isoflavones",mg,0.00,3,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Formononetin",mg,0.00,1,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Coumestrol",mg,0.00,1,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Proanthocyanidin
"Proanthocyanidin dimers",mg,0.0,4,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Proanthocyanidin trimers",mg,0.0,4,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Proanthocyanidin 4-6mers",mg,0.0,1,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Proanthocyanidin 7-10mers",mg,0.0,1,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Proanthocyanidin polymers (>10mers)",mg,0.0,1,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Sources of Data
1,"Nutrient Data Laboratory, ARS, USDA","National Food and Nutrient Analysis Program Wave 5k",2001,,BeltsvilleMD
2,"Nutrient Data Laboratory, ARS, USDA","National Food and Nutrient Analysis Program Wave 5d",2001,,BeltsvilleMD
3,"Nutrient Data Laboratory, ARS, USDA","National Food and Nutrient Analysis Program Wave 14c",2009,,BeltsvilleMD
4,"R J Bushway, A Yang, A M Yamani","Comparison of alpha- and beta-carotene content of supermarket versus roadside stand produce",1987,J Food Qual,9MD pp. 437-437
5,"F Khachik, M B Goli, G R Beecher, J Holden, W R Lusby, M D Tenoro, M R Barrera","Effect of food preparation on qualitative and quantitative distribution of major carotenoid constituents of tomatoes and several green vegetables.",1992,J. Agric Food Chem,40MD pp. 390-390
6,"T Philip, T S Chen","Development of a method for the quantitative estimation of provitamin A carotenoids in some fruits.",1988,J. Food Science,53MD pp. 1703-1703
7,"C. Y. Lee, R.W. Robinson","Influence of the crimson gene (ogc) on vitamin A content of tomato",1980,Horticultural Science,15MD pp. 260-260
8,"Nutrient Data Laboratory, ARS, USDA","National Food and Nutrient Analysis Program Wave 4c",2001,,BeltsvilleMD pp. 260-260
9,"Nutrient Data Laboratory, ARS, USDA","National Food and Nutrient Analysis Program Wave 2c",1999,,BeltsvilleMD pp. 260-260
10,"Harnly, J. M., Doherty, R., Beecher, G. R., Holden, J. M., Haytowitz, D. B., and Bhagwat, S., and Gebhardt S. ","Flavonoid content of U.S. fruits, vegetables, and nuts",2006,J. Agric. Food Chem.,54 pp. 9966-9966
11,"Arts, I. C. W., van de Putte, B., and Hollman, P. C. H. ","Catechin content of foods commonly consumed in the Netherlands. 1. Fruits, vegetables, staple foods and processed foods.",2000,J. Agric. Food Chem.,48 pp. 1746-1746
12,"de Pascual-Teresa, S., Santos-Buelga, C., & Rivas-Gonzalo, J.C. ","Quantitative analysis of flavan-3-ols in Spanish foodstuffs and beverages.",2000,J. Agric. Food Chem.,48 pp. 5331-5331
13,"Justesen, U., Knuthsen, P., and Leth, T.","Quantitative analysis of flavonols, flavones, and flavonones in fruits, vegetables and beverages by high-performance liquid chromatography with photo-diode array and mass spectrometric detection.",1998,J. Chromatogr. A,799 pp. 101-101
14,"Bahroun, T., Luximon-Ramma, A., Crozier, A., and Arouma, O. ","Total phenol, flavonoid, proanthocyanidin and vitamin C levels and antioxidant        activities of Mauritian vegetables",2004,J. Sci. Food Agric.,84 pp. 1553-1553
15,"Franke, A.A., Custer, L.J., Arakaki, C., and Murphy, S.P.","Vitamin C and flavonoid levels of fruits and vegetables consumed in Hawaii.",2004,J. Food Comp. Anal.,17 pp. 1-1
16,"Hertog, M. G. L., Hollman, P. C. H., and Katan, M. B. ","Content of potentially anticarcinogenic flavonoids of 28 vegetables and fruits commonly consumed in The Netherlands.",1992,J. Agric. Food Chem.,40 pp. 2379-2379
17,"Lugasi, A., and Hovari, J.","Flavonoid aglycons in foods of plant origin I. Vegetables",2000,Acta Alimentaria,29 pp. 345-345
18,"Arabbi, P. R., Genovese, M. I., and Lajolo, F. M. ","Flavonoids in vegetable foods commonly consumed in Brazil and estimated ingestion by the Brazilian population.",2004,J. Agric. Food Chem.,525 pp. 1124-1124
19,"Arai, Yusuke, Watanabe, S., Kimira, M., Shimoi, K., Mochizuki, R., and Kinae, N.","Dietary intakes of flavonols and isoflavones by Japanese women and inverse correlation between quercetin intake and plasma LDL cholesterol concentration",2000,J. Nutr.,1305 pp. 2243-2243
20,"Lako, J., Trenerry, V. C., Wahlqvist, M., Wattanapenpaiboon, N., Sotheeswaran, S., Premier, R. ","Phytochemical flavonols, carotenoids and the antioxidant properties of a wide selection of Fijian fruit, vegetables and other readily available foods.",2007,Food Chemistry,1015 pp. 1727-1727
21,"Kevers, C., Falkowski, M., Tabart, J., Defraigne, J-O., Dommes, J., and Pincemail, J. ","Evolution of antioxidant capacity during storage of selected fruits and vegetables",2007,J. Agric. Food Chem.,555 pp. 8596-8596
22,"Stewart, A. J., Bozonnet, S., Mullen, W., Jenkins, G., Lean, M. E. J., and Crozier, A.","Occurrence of flavonols in tomatoes and tomato-based procucts.",2000,J. Agric. Food Chem.,485 pp. 2663-2663
23,"Sakakibara, H., Honda, Y., Nakagawa, S., Ashida, H., and Kanazawa, K. ","Simultaneous determination of all polyphenols in vegetables, fruits, and teas",2003,J. Agric. Food Chem.,513 pp. 571-571
24,"Crozier, A., Lean, M. E. J., McDonald, M. S., and Black, C. ","Quantitative analysis of the flavonoid content of commercial tomatoes, onions, lettuce, and celery.",1997,J. Agric. Food Chem.,453 pp. 590-590
25,"de Pascual-Teresa, S., Santos-Buelga, C., and Rivas-Gonzalo, J.C.","Quantitative analysis of flavan-3-ols in Spanish foodstuffs and beverages",2000,J. Agric. Food Chem.,483 pp. 5331-5331
26,"Hellstr?m, T?rr?nen, A.R., and Matilla, P.H.","Proanthocyanidins in common food products of plant origin",2009,J. Agric. Food Chem.,573 pp. 7899-7899
27,"Horn-Ross, P. L., Barnes, S., Lee, M., Coward, L., Mandel, E., Koo, J., John, E. M., and Smith, M. ","Assesing phytoestrogen exposure in epidemiologic studies: development of a database (United States).",2000,Cancer Causes and Control,113 pp. 289-289
28,"Liggins, J., Bluck, L. J. C., Runswick, C., Atkinson, C., Coward, W. A., and Bingham, S. A. ","Daidzein and genistein content of vegetables.",2000,Brit. J. Nutr.,843 pp. 717-717
29,"Thompson, L. U., Boucher, B. A., Liu, Z., Cotterchio, M., and Kreiger, N. ","Phytoestrogen content of foods consumed in Canada, including isoflavones, lignans, and coumestan.",2006,Nutr. Cancer,543 pp. 184-184
Langual Code(s)
"B1276""TOMATO"
"K0003""NO PACKING MEDIUM USED"
"C0140""FRUIT, PEEL PRESENT, CORE, PIT OR SEED PRESENT"
"N0001""FOOD CONTACT SURFACE NOT KNOWN"
"G0003""COOKING METHOD NOT APPLICABLE"
"E0150""WHOLE, NATURAL SHAPE"
"J0001""PRESERVATION METHOD NOT KNOWN"
"A0152""VEGETABLE OR VEGETABLE PRODUCT (US CFR)"
"P0024""HUMAN FOOD, NO AGE SPECIFICATION"
"A1281""1100 VEGETABLES AND VEGETABLE PRODUCTS (USDA SR)"
"M0001""CONTAINER OR WRAPPING NOT KNOWN"
"F0003""NOT HEAT-TREATED"
"H0003""NO TREATMENT APPLIED"
